3 1000
-15178.387695 26488.587891 9192.947266
18765.236328 25828.597656 13801.163086
-39323.878906 47184.164062 10900.604492

-14273.599609 26697.462891 8238.804688
18552.263672 25480.759766 14036.678711
-39243.843750 47949.320312 10788.886719

-13338.625977 26916.646484 7293.906250
18325.619141 25135.126953 14270.360352
-39144.718750 48703.808594 10677.130859

-12370.613281 27144.371094 6360.925781
18084.955078 24791.970703 14501.707031
-39027.066406 49447.835938 10565.255859

-11366.823242 27378.767578 5442.789062
17829.933594 24451.595703 14730.151367
-38891.410156 50181.574219 10453.213867

-10324.669922 27617.843750 4542.710938
17560.236328 24114.339844 14955.058594
-38738.242188 50905.175781 10340.984375

-9241.774414 27859.466797 3664.225342
17275.574219 23780.578125 15175.720703
-38568.031250 51618.769531 10228.572266

-8116.026855 28101.345703 2811.206055
16975.701172 23450.726562 15391.353516
-38381.218750 52322.460938 10116.000977

-6945.666992 28341.019531 1987.878296
16660.431641 23125.242188 15601.094727
-38178.222656 53016.335938 10003.312500

-5729.374023 28575.855469 1198.815918
16329.661133 22804.623047 15804.007812
-37959.441406 53700.464844 9890.561523

-4466.367188 28803.046875 448.918274
15983.383789 22489.412109 15999.085938
-37725.253906 54374.894531 9777.815430

-3156.513672 29019.630859 -256.635132
15621.717773 22180.191406 16185.261719
-37476.015625 55039.656250 9665.152344

-1800.439819 29222.513672 -912.458496
15244.926758 21877.572266 16361.424805
-37212.074219 55694.765625 9552.657227

-399.631714 29408.511719 -1513.063721
14853.439453 21582.191406 16526.439453
-36933.757812 56340.218750 9440.421875

1043.479370 29574.412109 -2052.995850
14447.868164 21294.699219 16679.177734
-36641.382812 56976.000000 9328.542969

2525.462402 29717.048828 -2526.997314
14029.020508 21015.742188 16818.546875
-36335.253906 57602.074219 9217.120117

4041.874023 29833.390625 -2930.193359
13597.901367 20745.943359 16943.531250
-36015.664062 58218.398438 9106.254883

5587.298340 29920.638672 -3258.287842
13155.707031 20485.888672 17053.232422
-35682.890625 58824.914062 8996.049805

7155.446289 29976.326172 -3507.752930
12703.804688 20236.099609 17146.902344
-35337.207031 59421.542969 8886.607422

8739.313477 29998.410156 -3675.996338
12243.700195 19997.017578 17223.982422
-34978.878906 60008.207031 8778.028320

10331.386719 29985.343750 -3761.486816
11776.997070 19768.992188 17284.126953
-34608.160156 60584.804688 8670.411133

11923.892578 29936.136719 -3763.825684
11305.350586 19552.261719 17327.218750
-34225.296875 61151.234375 8563.851562

13509.052734 29850.369141 -3683.753662
10830.412109 19346.957031 17353.369141
-33830.531250 61707.378906 8458.441406

15079.338867 29728.187500 -3523.097656
10353.782227 19153.099609 17362.906250
-33424.097656 62253.113281 8354.268555

16627.697266 29570.263672 -3284.659180
9876.962891 18970.605469 17356.359375
-33006.230469 62788.308594 8251.416016

18147.726562 29377.738281 -2972.063477
9401.326172 18799.302734 17334.421875
-32577.152344 63312.828125 8149.962402

19633.806641 29152.134766 -2589.582275
8928.083984 18638.943359 17297.917969
-32137.087891 63826.527344 8049.981934

21081.167969 28895.279297 -2141.948730
8458.279297 18489.220703 17247.767578
-31686.255859 64329.261719 7951.543457

22485.914062 28609.214844 -1634.178955
7992.776855 18349.787109 17184.947266
-31224.873047 64820.878906 7854.710938

23844.998047 28296.117188 -1071.410767
7532.272461 18220.267578 17110.460938
-30753.154297 65301.226562 7759.543945

25156.166016 27958.224609 -458.767700
7077.302246 18100.277344 17025.310547
-30271.312500 65770.148438 7666.097656

26417.886719 27597.777344 198.750366
6628.256836 17989.431641 16930.476562
-29779.558594 66227.484375 7574.421875

27629.257812 27216.968750 896.349304
6185.400879 17887.355469 16826.900391
-29278.105469 66673.078125 7484.562988

28789.921875 26817.916016 1629.497803
5748.890625 17793.687500 16715.470703
-28767.162109 67106.773438 7396.562988

29899.972656 26402.626953 2393.963623
5318.791016 17708.091797 16597.019531
-28246.937500 67528.406250 7310.459961

30959.869141 25972.988281 3185.831299
4895.093750 17630.253906 16472.314453
-27717.642578 67937.820312 7226.289062

31970.369141 25530.759766 4001.507812
4477.731934 17559.886719 16342.061523
-27179.488281 68334.851562 7144.082031

32932.453125 25077.566406 4837.716797
4066.593262 17496.728516 16206.905273
-26632.683594 68719.343750 7063.867676

33847.273438 24614.902344 5691.487305
3661.531738 17440.542969 16067.429688
-26077.439453 69091.140625 6985.671387

34716.109375 24144.132812 6560.136230
3262.376465 17391.121094 15924.162109
-25513.968750 69450.078125 6909.516113

35540.320312 23666.503906 7441.249023
2868.940430 17348.275391 15777.577148
-24942.484375 69796.007812 6835.422363

36321.320312 23183.144531 8332.659180
2481.026367 17311.843750 15628.100586
-24363.199219 70128.765625 6763.408691

37060.546875 22695.082031 9232.425781
2098.432617 17281.681641 15476.114258
-23776.328125 70448.203125 6693.491699

37759.445312 22203.242188 10138.816406
1720.956421 17257.664062 15321.958984
-23182.087891 70754.164062 6625.685059

38419.453125 21708.464844 11050.283203
1348.397827 17239.685547 15165.939453
-22580.695312 71046.500000 6560.001465

39041.980469 21211.505859 11965.446289
980.561768 17227.656250 15008.326172
-21972.369141 71325.054688 6496.452148

39628.410156 20713.046875 12883.078125
617.260132 17221.498047 14849.362305
-21357.330078 71589.679688 6435.045898

40180.089844 20213.705078 13802.084961
258.312897 17221.148438 14689.262695
-20735.800781 71840.218750 6375.790527

40698.320312 19714.035156 14721.494141
-96.450714 17226.556641 14528.219727
-20108.005859 72076.531250 6318.692383

41184.359375 19214.537109 15640.442383
-447.191681 17237.681641 14366.404297
-19474.171875 72298.468750 6263.756836

41639.414062 18715.662109 16558.160156
-794.060669 17254.492188 14203.967773
-18834.527344 72505.882812 6210.988281

42064.652344 18217.818359 17473.966797
-1137.197998 17276.964844 14041.045898
-18189.302734 72698.625000 6160.389160

42461.187500 17721.371094 18387.255859
-1476.733398 17305.083984 13877.758789
-17538.732422 72876.554688 6111.961426

42830.085938 17226.654297 19297.490234
-1812.786133 17338.841797 13714.213867
-16883.050781 73039.523438 6065.705566

43172.371094 16733.964844 20204.193359
-2145.465088 17378.234375 13550.506836
-16222.496094 73187.382812 6021.622070

43489.019531 16243.573242 21106.941406
-2474.868896 17423.267578 13386.721680
-15557.310547 73319.992188 5979.709961

43780.960938 15755.724609 22005.361328
-2801.086426 17473.949219 13222.934570
-14887.737305 73437.210938 5939.967285

44049.085938 15270.638672 22899.121094
-3124.196533 17530.291016 13059.212891
-14214.025391 73538.898438 5902.391113

44294.246094 14788.516602 23787.927734
-3444.269043 17592.310547 12895.616211
-13536.424805 73624.906250 5866.978516

44517.253906 14309.538086 24671.523438
-3761.364258 17660.029297 12732.198242
-12855.190430 73695.101562 5833.725586

44718.878906 13833.867188 25549.677734
-4075.533691 17733.468750 12569.006836
-12170.580078 73749.335938 5802.626953

44899.863281 13361.652344 26422.191406
-4386.820312 17812.658203 12406.083984
-11482.856445 73787.468750 5773.677246

45060.914062 12893.028320 27288.886719
-4695.258789 17897.625000 12243.467773
-10792.285156 73809.359375 5746.870117

45202.703125 12428.117188 28149.607422
-5000.875000 17988.402344 12081.192383
-10099.137695 73814.867188 5722.198730

45325.871094 11967.029297 29004.218750
-5303.687988 18085.023438 11919.287109
-9403.689453 73803.859375 5699.655273

45431.035156 11509.865234 29852.601562
-5603.708496 18187.525391 11757.780273
-8706.220703 73776.187500 5679.231445

45518.781250 11056.716797 30694.652344
-5900.939453 18295.945312 11596.695312
-8007.017578 73731.710938 5660.917969

45589.675781 10607.666992 31530.281250
-6195.376953 18410.320312 11436.054688
-7306.370605 73670.296875 5644.705078

45644.250000 10162.791016 32359.412109
-6487.009766 18530.693359 11275.877930
-6604.576172 73591.804688 5630.582031

45683.019531 9722.157227 33181.976562
-6775.819336 18657.105469 11116.182617
-5901.937500 73496.093750 5618.538086

45706.476562 9285.829102 33997.921875
-7061.780762 18789.599609 10956.985352
-5198.763672 73383.023438 5608.560547

45715.093750 8853.863281 34807.195312
-7344.861816 18928.218750 10798.299805
-4495.370605 73252.460938 5600.637207

45709.324219 8426.311523 35609.757812
-7625.023438 19073.007812 10640.140625
-3792.080566 73104.265625 5594.753906

45689.597656 8003.221191 36405.578125
-7902.220703 19224.011719 10482.519531
-3089.224121 72938.304688 5590.896484

45656.328125 7584.635742 37194.628906
-8176.401367 19381.275391 10325.448242
-2387.138916 72754.437500 5589.049316

45609.917969 7170.594727 37976.886719
-8447.506836 19544.847656 10168.937500
-1686.171143 72552.531250 5589.196289

45550.750000 6761.134277 38752.335938
-8715.471680 19714.773438 10012.998047
-986.675171 72332.445312 5591.320312

45479.187500 6356.287109 39520.964844
-8980.223633 19891.099609 9857.639648
-289.014587 72094.054688 5595.403320

45395.589844 5956.083984 40282.761719
-9241.684570 20073.871094 9702.871094
406.437683 71837.226562 5601.425293

45300.292969 5560.551758 41037.722656
-9499.769531 20263.136719 9548.702148
1099.298828 71561.828125 5609.366211

45193.625000 5169.716309 41785.847656
-9754.386719 20458.941406 9395.142578
1789.175659 71267.734375 5619.204590

45075.898438 4783.600586 42527.132812
-10005.436523 20661.332031 9242.201172
2475.664062 70954.812500 5630.917480

44947.417969 4402.226074 43261.578125
-10252.814453 20870.355469 9089.886719
3158.348877 70622.945312 5644.480469

44808.476562 4025.612305 43989.191406
-10496.408203 21086.054688 8938.208984
3836.802734 70272.007812 5659.867676

44659.359375 3653.777100 44709.972656
-10736.097656 21308.474609 8787.178711
4510.585938 69901.875000 5677.052246

44500.332031 3286.737305 45423.933594
-10971.755859 21537.656250 8636.805664
5179.245117 69512.437500 5696.005859

44331.660156 2924.508301 46131.078125
-11203.249023 21773.644531 8487.099609
5842.314453 69103.585938 5716.697754

44153.597656 2567.104004 46831.414062
-11430.435547 22016.476562 8338.073242
6499.312500 68675.210938 5739.095703

43966.390625 2214.537354 47524.953125
-11653.166016 22266.191406 8189.737793
7149.743652 68227.203125 5763.165527

43770.273438 1866.820679 48211.703125
-11871.284180 22522.826172 8042.105469
7793.096680 67759.476562 5788.871094

43565.476562 1523.964966 48891.671875
-12084.624023 22786.416016 7895.190430
8428.843750 67271.929688 5816.173828

43352.222656 1185.980591 49564.871094
-12293.011719 23056.990234 7749.006348
9056.439453 66764.484375 5845.033691

43130.722656 852.877075 50231.312500
-12496.264648 23334.580078 7603.568848
9675.322266 66237.062500 5875.407227

42901.187500 524.663330 50891.003906
-12694.193359 23619.208984 7458.894531
10284.911133 65689.593750 5907.248535

42663.820312 201.347595 51543.953125
-12886.597656 23910.900391 7315.000488
10884.605469 65122.023438 5940.509277

42418.812500 -117.062531 52190.167969
-13073.267578 24209.669922 7171.905762
11473.785156 64534.300781 5975.137695

42166.355469 -430.559998 52829.660156
-13253.986328 24515.533203 7029.630371
12051.809570 63926.390625 6011.079590

41906.632812 -739.138306 53462.437500
-13428.524414 24828.496094 6888.196289
12618.015625 63298.269531 6048.276855

41639.824219 -1042.791382 54088.507812
-13596.644531 25148.562500 6747.626465
13171.718750 62649.929688 6086.667480

41366.105469 -1341.513672 54707.875000
-13758.097656 25475.728516 6607.945312
13712.210938 61981.378906 6126.186523

41085.640625 -1635.300293 55320.546875
-13912.625000 25809.982422 6469.180176
14238.761719 61292.636719 6166.764160

40798.597656 -1924.146484 55926.527344
-14059.957031 26151.304688 6331.359375
14750.614258 60583.750000 6208.326660

40505.132812 -2208.048096 56525.820312
-14199.813477 26499.669922 6194.513184
15246.988281 59854.785156 6250.795898

40205.406250 -2487.001465 57118.429688
-14331.903320 26855.041016 6058.674316
15727.076172 59105.832031 6294.088379

39899.562500 -2761.003418 57704.355469
-14455.922852 27217.373047 5923.877930
16190.045898 58337.003906 6338.115723

39587.753906 -3030.051270 58283.601562
-14571.557617 27586.605469 5790.161133
16635.037109 57548.445312 6382.784180

39270.121094 -3294.142578 58856.167969
-14678.482422 27962.669922 5657.563965
17061.164062 56740.328125 6427.994141

38946.804688 -3553.275635 59422.050781
-14776.358398 28345.482422 5526.128906
17467.513672 55912.863281 6473.640137

38617.941406 -3807.449219 59981.250000
-14864.837891 28734.943359 5395.901367
17853.144531 55066.296875 6519.609863

38283.664062 -4056.662598 60533.761719
-14943.559570 29130.937500 5266.929199
18217.087891 54200.917969 6565.785156

37944.101562 -4300.915527 61079.578125
-15012.152344 29533.333984 5139.264160
18558.351562 53317.054688 6612.039551

37599.378906 -4540.208984 61618.695312
-15070.232422 29941.978516 5012.960449
18875.914062 52415.089844 6658.240234

37249.621094 -4774.543945 62151.105469
-15117.407227 30356.701172 4888.076172
19168.730469 51495.453125 6704.246094

36894.949219 -5003.922363 62676.796875
-15153.273438 30777.304688 4764.672852
19435.732422 50558.632812 6749.908203

36535.476562 -5228.346680 63195.761719
-15177.417969 31203.570312 4642.814941
19675.830078 49605.183594 6795.069824

36171.320312 -5447.820312 63707.992188
-15189.419922 31635.251953 4522.571289
19887.914062 48635.718750 6839.564453

35802.589844 -5662.347656 64213.468750
-15188.851562 32072.074219 4404.014160
20070.859375 47650.925781 6883.218262

35429.394531 -5871.934082 64712.183594
-15175.278320 32513.732422 4287.219727
20223.525391 46651.574219 6925.847168

35051.839844 -6076.585449 65204.117188
-15148.262695 32959.890625 4172.268555
20344.763672 45638.503906 6967.258301

34670.027344 -6276.309082 65689.257812
-15107.363281 33410.175781 4059.244141
20433.419922 44612.652344 7007.250000

34284.058594 -6471.113770 66167.585938
-15052.139648 33864.179688 3948.234375
20488.345703 43575.042969 7045.611816

33894.031250 -6661.008789 66639.078125
-14982.154297 34321.457031 3839.330811
20508.396484 42526.800781 7082.123047

33500.042969 -6846.004395 67103.718750
-14896.975586 34781.515625 3732.628906
20492.443359 41469.148438 7116.555664

33102.183594 -7026.113281 67561.492188
-14796.179688 35243.828125 3628.227539
20439.382812 40403.421875 7148.672363

32700.542969 -7201.348145 68012.375000
-14679.356445 35707.820312 3526.228760
20348.144531 39331.058594 7178.228516

32295.208984 -7371.723633 68456.343750
-14546.113281 36172.871094 3426.737305
20217.703125 38253.617188 7204.972656

31886.265625 -7537.256348 68893.375000
-14396.078125 36638.316406 3329.860840
20047.087891 37172.765625 7228.646973

31473.794922 -7697.963379 69323.453125
-14228.907227 37103.445312 3235.708740
19835.396484 36090.296875 7248.988770

31057.876953 -7853.864258 69746.554688
-14044.288086 37567.496094 3144.391846
19581.808594 35008.117188 7265.731934

30638.587891 -8004.979004 70162.648438
-13841.947266 38029.667969 3056.021729
19285.601562 33928.250000 7278.608887

30216.001953 -8151.330078 70571.718750
-13621.654297 38489.109375 2970.709961
18946.164062 32852.828125 7287.351074

29790.191406 -8292.940430 70973.750000
-13383.230469 38944.925781 2888.567383
18563.009766 31784.089844 7291.693359

29361.224609 -8429.834961 71368.710938
-13126.552734 39396.191406 2809.702148
18135.800781 30724.373047 7291.374512

28929.167969 -8562.041016 71756.585938
-12851.561523 39841.941406 2734.219971
17664.351562 29676.105469 7286.140625

28494.085938 -8689.584961 72137.359375
-12558.265625 40281.179688 2662.222168
17148.652344 28641.787109 7275.748047

28056.041016 -8812.496094 72511.015625
-12246.748047 40712.886719 2593.804443
16588.880859 27623.978516 7259.965820

27615.091797 -8930.804688 72877.531250
-11917.170898 41136.027344 2529.055908
15985.412109 26625.281250 7238.579590

27171.294922 -9044.541016 73236.898438
-11569.779297 41549.558594 2468.057617
15338.832031 25648.320312 7211.393555

26724.705078 -9153.737305 73589.101562
-11204.906250 41952.437500 2410.881348
14649.943359 24695.716797 7178.233887

26275.376953 -9258.425781 73934.132812
